Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1961","1961","1000 ha","4469406.7845","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1962","1962","1000 ha","4479209.0715","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1963","1963","1000 ha","4489181.2482","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1964","1964","1000 ha","4497984.4896","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1965","1965","1000 ha","4513361.351","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1966","1966","1000 ha","4518376.1357","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1967","1967","1000 ha","4532046.5039","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1968","1968","1000 ha","4566119.8011","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1969","1969","1000 ha","4580052.7789","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1970","1970","1000 ha","4566585.1685","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1971","1971","1000 ha","4581373.2967","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1972","1972","1000 ha","4591874.82","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1973","1973","1000 ha","4608925.58","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1974","1974","1000 ha","4618956.46","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1975","1975","1000 ha","4625015.83","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1976","1976","1000 ha","4627204.6333","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1977","1977","1000 ha","4628968.2967","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1978","1978","1000 ha","4643779","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1979","1979","1000 ha","4650474.6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1980","1980","1000 ha","4665972.438","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1981","1981","1000 ha","4668121.58","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1982","1982","1000 ha","4685873.92","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1983","1983","1000 ha","4694670.47","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1984","1984","1000 ha","4724844.07","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1985","1985","1000 ha","4756383.247","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1986","1986","1000 ha","4760989.882","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1987","1987","1000 ha","4776655.15","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1988","1988","1000 ha","4793854.49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1989","1989","1000 ha","4805857.63","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1990","1990","1000 ha","4798043.81","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1991","1991","1000 ha","4789927.8874","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1992","1992","1000 ha","4828952.996","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1993","1993","1000 ha","4812993.434","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1994","1994","1000 ha","4833752.068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1995","1995","1000 ha","4833862.96","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1996","1996","1000 ha","4841499.732","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1997","1997","1000 ha","4861725.424","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1998","1998","1000 ha","4875189.116","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","1999","1999","1000 ha","4878210.583","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2000","2000","1000 ha","4879532.24","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2001","2001","1000 ha","4881945.2452","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2002","2002","1000 ha","4872924.5609","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2003","2003","1000 ha","4857648.6376","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2004","2004","1000 ha","4817356.4608","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2005","2005","1000 ha","4823689.4972","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2006","2006","1000 ha","4820700.4137","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2007","2007","1000 ha","4812814.6001","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2008","2008","1000 ha","4801043.6566","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2009","2009","1000 ha","4796424.1692","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2010","2010","1000 ha","4795848.455","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2011","2011","1000 ha","4814971.142","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2012","2012","1000 ha","4772566.2806","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2013","2013","1000 ha","4763129.8443","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2014","2014","1000 ha","4761795.4362","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2015","2015","1000 ha","4736496.9596","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2016","2016","1000 ha","4732764.163","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2017","2017","1000 ha","4767232.4995","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4750459.2597","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2019","2019","1000 ha","4752110.7106","A","Aggregate, may include official, semi-official, estimated or calculated data"
