Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RL,Land Use,001,World,5110,Area,6601,Land area,1961,1961,1000 ha,13041023.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1962,1962,1000 ha,13041021.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1963,1963,1000 ha,13041022.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1964,1964,1000 ha,13041022.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1965,1965,1000 ha,13041021.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1966,1966,1000 ha,13041020.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1967,1967,1000 ha,13041019.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1968,1968,1000 ha,13041018.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1969,1969,1000 ha,13041018.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1970,1970,1000 ha,13041017.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1971,1971,1000 ha,13041016.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1972,1972,1000 ha,13041005.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1973,1973,1000 ha,13040996.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1974,1974,1000 ha,13040948.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1975,1975,1000 ha,13040895.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1976,1976,1000 ha,13040872.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1977,1977,1000 ha,13040858.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1978,1978,1000 ha,13040856.15,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1979,1979,1000 ha,13040851.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1980,1980,1000 ha,13040831.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1981,1981,1000 ha,13040838.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1982,1982,1000 ha,13040818.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1983,1983,1000 ha,13040810.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1984,1984,1000 ha,13040657.23,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1985,1985,1000 ha,13040645.24,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1986,1986,1000 ha,13040654.25,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1987,1987,1000 ha,13040643.25,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1988,1988,1000 ha,13040641.26,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1989,1989,1000 ha,13040542.27,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1990,1990,1000 ha,13040541.28,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1991,1991,1000 ha,13040551.29,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1992,1992,1000 ha,12996254.49,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1993,1993,1000 ha,12995879.9,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1994,1994,1000 ha,12994675.21,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1995,1995,1000 ha,12994379.22,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1996,1996,1000 ha,12994333.7,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1997,1997,1000 ha,13001267.68,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1998,1998,1000 ha,12998664.45,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,1999,1999,1000 ha,12999343.23,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2000,2000,1000 ha,13005250.76,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2001,2001,1000 ha,13005132.75,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2002,2002,1000 ha,13004914.05,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2003,2003,1000 ha,13005627.69,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2004,2004,1000 ha,13020282.84,B,Time series break,
RL,Land Use,001,World,5110,Area,6601,Land area,2005,2005,1000 ha,13020557.07,A,Official figure,
RL,Land Use,001,World,5110,Area,6601,Land area,2006,2006,1000 ha,13020335.88,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2007,2007,1000 ha,13020314.12,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2008,2008,1000 ha,13018728.07,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2009,2009,1000 ha,13018572.17,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2010,2010,1000 ha,13018809.89,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2011,2011,1000 ha,13018858.08,B,Time series break,
RL,Land Use,001,World,5110,Area,6601,Land area,2012,2012,1000 ha,13031261.4,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2013,2013,1000 ha,13031085.19,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2014,2014,1000 ha,13031023.24,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2015,2015,1000 ha,13031388.53,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2016,2016,1000 ha,13032368.3,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2017,2017,1000 ha,13031639.71,E,Estimated value,
RL,Land Use,001,World,5110,Area,6601,Land area,2018,2018,1000 ha,13031726.36,B,Time series break,
RL,Land Use,001,World,5110,Area,6601,Land area,2019,2019,1000 ha,13031707.94,B,Time series break,
RL,Land Use,001,World,5110,Area,6601,Land area,2020,2020,1000 ha,13031315.12,B,Time series break,
RL,Land Use,001,World,5110,Area,6601,Land area,2021,2021,1000 ha,13015149.5,B,Time series break,
RL,Land Use,001,World,5110,Area,6601,Land area,2022,2022,1000 ha,13015161.79,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1961,1961,1000 ha,4428036.711,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1962,1962,1000 ha,4437378.03,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1963,1963,1000 ha,4445857.216,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1964,1964,1000 ha,4454132.286,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1965,1965,1000 ha,4467494.989,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1966,1966,1000 ha,4475367.831,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1967,1967,1000 ha,4487187.705,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1968,1968,1000 ha,4521749.792,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1969,1969,1000 ha,4528799.172,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1970,1970,1000 ha,4523452.841,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1971,1971,1000 ha,4538435.346,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1972,1972,1000 ha,4553566.225,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1973,1973,1000 ha,4565367.936,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1974,1974,1000 ha,4578925.959,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1975,1975,1000 ha,4587206.894,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1976,1976,1000 ha,4589609.446,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1977,1977,1000 ha,4596383.544,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1978,1978,1000 ha,4613840.329,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1979,1979,1000 ha,4622293.741,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1980,1980,1000 ha,4636510.437,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1981,1981,1000 ha,4642712.847,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1982,1982,1000 ha,4658945.338,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1983,1983,1000 ha,4667501.363,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1984,1984,1000 ha,4694978.759,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1985,1985,1000 ha,4724083.859,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1986,1986,1000 ha,4723809.239,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1987,1987,1000 ha,4739349.303,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1988,1988,1000 ha,4757039.24,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1989,1989,1000 ha,4768541.842,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1990,1990,1000 ha,4778099.468,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1991,1991,1000 ha,4781462.88,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1992,1992,1000 ha,4820438.536,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1993,1993,1000 ha,4804332.833,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1994,1994,1000 ha,4826489.573,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1995,1995,1000 ha,4825902.52,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1996,1996,1000 ha,4833628.402,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1997,1997,1000 ha,4852771.28,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1998,1998,1000 ha,4866076.3,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,1999,1999,1000 ha,4867702.211,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2000,2000,1000 ha,4872121.828,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2001,2001,1000 ha,4872655.452,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2002,2002,1000 ha,4864117.653,B,Time series break,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2003,2003,1000 ha,4845199.55,B,Time series break,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2004,2004,1000 ha,4803494.691,B,Time series break,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2005,2005,1000 ha,4810891.466,B,Time series break,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2006,2006,1000 ha,4810424.763,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2007,2007,1000 ha,4802272.108,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2008,2008,1000 ha,4788660.85,B,Time series break,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2009,2009,1000 ha,4784791.787,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2010,2010,1000 ha,4785537.453,B,Time series break,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2011,2011,1000 ha,4806636.437,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2012,2012,1000 ha,4806364.414,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2013,2013,1000 ha,4795866.039,B,Time series break,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2014,2014,1000 ha,4795439.66,B,Time series break,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2015,2015,1000 ha,4774657.798,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2016,2016,1000 ha,4769111.244,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2017,2017,1000 ha,4800714.624,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2018,2018,1000 ha,4784915.138,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2019,2019,1000 ha,4789415.163,B,Time series break,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2020,2020,1000 ha,4781210.207,B,Time series break,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2021,2021,1000 ha,4787265.146,E,Estimated value,
RL,Land Use,001,World,5110,Area,6610,Agricultural land,2022,2022,1000 ha,4781220.751,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,1990,1990,1000 ha,4236433.422,A,Official figure,
RL,Land Use,001,World,5110,Area,6646,Forest land,1991,1991,1000 ha,4228595.032,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,1992,1992,1000 ha,4220756.642,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,1993,1993,1000 ha,4212918.252,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,1994,1994,1000 ha,4205079.862,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,1995,1995,1000 ha,4197241.472,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,1996,1996,1000 ha,4189403.082,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,1997,1997,1000 ha,4181564.692,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,1998,1998,1000 ha,4173726.302,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,1999,1999,1000 ha,4165887.912,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2000,2000,1000 ha,4158049.522,A,Official figure,
RL,Land Use,001,World,5110,Area,6646,Forest land,2001,2001,1000 ha,4152876.264,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2002,2002,1000 ha,4147703.007,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2003,2003,1000 ha,4142529.749,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2004,2004,1000 ha,4137356.491,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2005,2005,1000 ha,4132183.233,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2006,2006,1000 ha,4127009.975,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2007,2007,1000 ha,4121836.718,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2008,2008,1000 ha,4116663.46,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2009,2009,1000 ha,4111490.202,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2010,2010,1000 ha,4106316.944,A,Official figure,
RL,Land Use,001,World,5110,Area,6646,Forest land,2011,2011,1000 ha,4101827.05,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2012,2012,1000 ha,4097337.157,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2013,2013,1000 ha,4092847.263,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2014,2014,1000 ha,4088357.37,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2015,2015,1000 ha,4083867.476,A,Official figure,
RL,Land Use,001,World,5110,Area,6646,Forest land,2016,2016,1000 ha,4080603.542,A,Official figure,
RL,Land Use,001,World,5110,Area,6646,Forest land,2017,2017,1000 ha,4073757.185,A,Official figure,
RL,Land Use,001,World,5110,Area,6646,Forest land,2018,2018,1000 ha,4068923.274,A,Official figure,
RL,Land Use,001,World,5110,Area,6646,Forest land,2019,2019,1000 ha,4063834.52,A,Official figure,
RL,Land Use,001,World,5110,Area,6646,Forest land,2020,2020,1000 ha,4058921.48,A,Official figure,
RL,Land Use,001,World,5110,Area,6646,Forest land,2021,2021,1000 ha,4053896.487,E,Estimated value,
RL,Land Use,001,World,5110,Area,6646,Forest land,2022,2022,1000 ha,4048946.134,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1961,1961,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1962,1962,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1963,1963,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1964,1964,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1965,1965,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1966,1966,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1967,1967,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1968,1968,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1969,1969,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1970,1970,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1971,1971,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1972,1972,1000 ha,2964906.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1973,1973,1000 ha,2964902.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1974,1974,1000 ha,2964862.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1975,1975,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1976,1976,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1977,1977,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1978,1978,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1979,1979,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1980,1980,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1981,1981,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1982,1982,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1983,1983,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1984,1984,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1985,1985,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1986,1986,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1987,1987,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1988,1988,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1989,1989,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1990,1990,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1991,1991,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1992,1992,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1993,1993,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1994,1994,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1995,1995,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1996,1996,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1997,1997,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1998,1998,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,1999,1999,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2000,2000,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2001,2001,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2002,2002,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2003,2003,1000 ha,2964822.5,A,Official figure,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2004,2004,1000 ha,2979680.493,B,Time series break,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2005,2005,1000 ha,2979685.013,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2006,2006,1000 ha,2979684.223,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2007,2007,1000 ha,2979688.881,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2008,2008,1000 ha,2979685.079,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2009,2009,1000 ha,2979688.319,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2010,2010,1000 ha,2979757.11,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2011,2011,1000 ha,2979782.109,B,Time series break,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2012,2012,1000 ha,2992175.122,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2013,2013,1000 ha,2992172.338,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2014,2014,1000 ha,2992167.649,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2015,2015,1000 ha,2992173.118,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2016,2016,1000 ha,2992173.896,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2017,2017,1000 ha,2992172.703,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2018,2018,1000 ha,2992174.211,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2019,2019,1000 ha,2992174.745,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2020,2020,1000 ha,2992169.749,B,Time series break,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2021,2021,1000 ha,2992170.049,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6601,Land area,2022,2022,1000 ha,2992170.049,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1961,1961,1000 ha,1011184.638,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1962,1962,1000 ha,1011092.877,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1963,1963,1000 ha,1012088.305,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1964,1964,1000 ha,1012349.116,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1965,1965,1000 ha,1013198.908,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1966,1966,1000 ha,1014333.613,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1967,1967,1000 ha,1015104.399,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1968,1968,1000 ha,1017137.302,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1969,1969,1000 ha,1018700.614,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1970,1970,1000 ha,1019760.809,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1971,1971,1000 ha,1023283.488,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1972,1972,1000 ha,1024546.446,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1973,1973,1000 ha,1024464.444,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1974,1974,1000 ha,1024713.368,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1975,1975,1000 ha,1026051.637,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1976,1976,1000 ha,1027484.271,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1977,1977,1000 ha,1028331.895,E,Estimated value,
RL,Land Use,002,Africa,5110,Area,6610,Agricultural land,1978,1978,1000 ha,1030333.798,E,Estimated value,
